number_of_points,result_in_points,final_area,exec_time,number_of_thread,machine_label
100000, 78479, 3.1391600000, 0.00152, 1, Laptop 
100000, 78340, 3.1336000000, 0.00122, 2, Laptop 
100000, 78358, 3.1343200000, 0.00146, 3, Laptop 
100000, 78473, 3.1389200000, 0.00134, 4, Laptop 
100000, 78538, 3.1415200000, 0.00117, 5, Laptop 
100000, 78580, 3.1432000000, 0.00127, 6, Laptop 
100000, 78661, 3.1464400000, 0.00098, 7, Laptop 
100000, 78660, 3.1464000000, 0.00158, 8, Laptop 
100000, 78575, 3.1430000000, 0.00396, 9, Laptop 
100000, 78494, 3.1397600000, 0.00702, 10, Laptop 
100000, 78501, 3.1400400000, 0.00074, 11, Laptop 
100000, 78599, 3.1439600000, 0.00697, 12, Laptop 
100000, 78556, 3.1422400000, 0.00770, 13, Laptop 
100000, 78553, 3.1421200000, 0.01312, 14, Laptop 
100000, 78562, 3.1424800000, 0.00291, 15, Laptop 
100000, 78626, 3.1450400000, 0.00138, 16, Laptop 
1000000, 785063, 3.1402520000, 0.00674, 1, Laptop 
1000000, 784719, 3.1388760000, 0.00581, 2, Laptop 
1000000, 784548, 3.1381920000, 0.00433, 3, Laptop 
1000000, 784900, 3.1396000000, 0.00519, 4, Laptop 
1000000, 785084, 3.1403360000, 0.00542, 5, Laptop 
1000000, 784790, 3.1391600000, 0.00468, 6, Laptop 
1000000, 785121, 3.1404840000, 0.00643, 7, Laptop 
1000000, 785253, 3.1410120000, 0.00872, 8, Laptop 
1000000, 785394, 3.1415760000, 0.01138, 9, Laptop 
1000000, 784934, 3.1397360000, 0.00834, 10, Laptop 
1000000, 784931, 3.1397240000, 0.00718, 11, Laptop 
1000000, 785037, 3.1401480000, 0.00799, 12, Laptop 
1000000, 784902, 3.1396080000, 0.00719, 13, Laptop 
1000000, 784990, 3.1399600000, 0.01644, 14, Laptop 
1000000, 785079, 3.1403160000, 0.00359, 15, Laptop 
1000000, 785202, 3.1408080000, 0.00385, 16, Laptop 
10000000, 7852607, 3.1410428000, 0.07164, 1, Laptop 
10000000, 7852291, 3.1409164000, 0.04336, 2, Laptop 
